idNode;index;label;level;mass;type;role;pointCount;contourLength1;contourLength2;subtreeCost;tsvNorm;refGraph
571;7;19;2;33;103;2;4;0;0;10;5.94110525101641;12
573;8;20;3;1;101;4;97;0;0;1;0;12
613;9;21;3;22;101;2;10;0;0;8;5.42767262884443;12
618;11;22;5;1;101;4;30;0;0;1;0;12
634;10;23;4;3;101;2;80;0;0;2;1;12
666;12;24;4;11;101;2;4;0;0;5;3.74165738677394;12
670;14;25;6;1;101;4;29;0;0;1;0;12
690;13;26;5;3;101;2;84;0;0;2;1;12
727;16;27;6;1;101;4;31;0;0;1;0;12
743;15;28;5;3;101;2;73;0;0;2;1;12
773;0;#;0;135;105;1;0;0;0;29;9.79443489341094;12
46;18;1;6;1;101;4;90;0;0;1;0;13
91;19;2;6;1;101;4;88;0;0;1;0;13
159;17;3;5;5;101;2;24;0;0;3;2.82842712474619;13
176;20;4;5;1;101;4;106;0;0;1;0;13
243;16;5;4;11;101;2;5;0;0;5;4.65369253920931;13
245;21;6;4;1;101;4;103;0;0;1;0;13
308;15;7;3;19;101;2;9;0;0;7;5.52395992228424;13
313;14;8;2;35;101;2;5;0;0;11;6.64538178234058;13
318;1;9;1;97;104;2;5;0;0;27;11.9555121692875;13
326;2;10;2;5;103;2;5;0;0;3;2.82842712474619;13
328;3;11;3;1;101;4;4;0;0;1;0;13
331;4;12;3;1;101;4;118;0;0;1;0;13
397;5;13;2;25;103;2;4;0;0;9;6.29139344389305;13
400;6;14;3;11;101;2;11;0;0;5;4.65369253920931;13
407;7;15;4;1;101;4;112;0;0;1;0;13
471;8;16;4;5;101;2;11;0;0;3;2.82842712474619;13
476;9;17;5;1;101;4;103;0;0;1;0;13
524;10;18;5;1;101;4;102;0;0;1;0;13
566;11;19;3;5;101;2;6;0;0;3;2.82842712474619;13
572;12;20;4;1;101;4;114;0;0;1;0;13
621;13;21;4;1;101;4;107;0;0;1;0;13
665;25;22;2;5;101;2;9;0;0;3;2.82842712474619;13
672;26;23;3;1;101;4;98;0;0;1;0;13
721;27;24;3;1;101;4;93;0;0;1;0;13
759;22;25;3;5;101;2;4;0;0;3;2.82842712474619;13
760;23;26;4;1;101;4;122;0;0;1;0;13
833;24;27;4;1;101;4;6;0;0;1;0;13
842;0;#;0;125;105;1;0;0;0;28;9.8414659823496;13
44;13;1;3;1;101;4;102;0;0;1;0;14
95;12;2;2;5;101;2;13;0;0;3;2.82842712474619;14
103;1;3;1;57;104;2;6;0;0;19;11.1939178646704;14
108;2;4;2;11;103;2;5;0;0;5;4.65369253920931;14
112;3;5;3;1;101;4;3;0;0;1;0;14
115;4;6;3;5;101;2;35;0;0;3;2.82842712474619;14
138;5;7;4;1;101;4;62;0;0;1;0;14
188;6;8;4;1;101;4;70;0;0;1;0;14
231;7;9;2;11;103;2;7;0;0;5;4.65369253920931;14
236;8;10;3;1;101;4;111;0;0;1;0;14
304;9;11;3;5;101;2;26;0;0;3;2.82842712474619;14
319;10;12;4;1;101;4;99;0;0;1;0;14
381;11;13;4;1;101;4;93;0;0;1;0;14
437;15;14;2;11;101;2;17;0;0;5;4.65369253920931;14
443;16;15;3;1;101;4;113;0;0;1;0;14
497;17;16;3;5;101;2;7;0;0;3;2.82842712474619;14
504;18;17;4;1;101;4;110;0;0;1;0;14
551;19;18;4;1;101;4;111;0;0;1;0;14
601;14;19;3;1;101;4;112;0;0;1;0;14
648;0;#;0;77;105;1;0;0;0;20;9.12743598301748;14
47;1;1;1;1;104;4;4;0;0;1;0;15
52;0;#;0;3;105;1;0;0;0;2;1;15
49;21;1;3;1;101;4;106;0;0;1;0;16
98;20;2;2;5;101;2;14;0;0;3;2.82842712474619;16
106;1;3;1;173;104;2;2;0;0;37;12.4541762490385;16
110;2;4;2;5;101;2;16;0;0;3;2.82842712474619;16
119;3;5;3;1;101;4;88;0;0;1;0;16
192;4;6;3;1;101;4;104;0;0;1;0;16
251;5;7;2;63;103;2;6;0;0;15;6.54339371958187;16
257;6;8;3;1;101;4;97;0;0;1;0;16
314;7;9;3;47;101;2;4;0;0;13;6.31446554668522;16
320;8;10;4;33;101;2;2;0;0;11;6.80014056687509;16
